,simulated
,envelope
eV,
525.0,4.027621256243769e-29
525.001,4.12810602110078e-29
525.002,4.23107691620127e-29
525.0029999999999,4.3365949274733196e-29
525.0039999999999,4.4447225237814165e-29
525.0049999999999,4.55552369266194e-29
525.0059999999999,4.6690639769119773e-29
525.0069999999998,4.785410512051696e-29
525.0079999999998,4.9046320646806487e-29
525.0089999999998,5.026799071749276e-29
525.0099999999998,5.15198368076724e-29
525.0109999999997,5.280259790970697e-29
525.0119999999997,5.411703095471209e-29
525.0129999999997,5.546391124409181e-29
525.0139999999997,5.684403289136566e-29
525.0149999999996,5.825820927451255e-29
525.0159999999996,5.970727349909908e-29
525.0169999999996,6.119207887243652e-29
525.0179999999996,6.271349938902856e-29
525.0189999999996,6.427243022757425e-29
525.0199999999995,6.58697882598052e-29
525.0209999999995,6.750651257142724e-29
525.0219999999995,6.918356499545682e-29
525.0229999999995,7.090193065824534e-29
525.0239999999994,7.266261853848539e-29
525.0249999999994,7.446666203951578e-29
525.0259999999994,7.631511957521504e-29
525.0269999999994,7.820907516983472e-29
525.0279999999993,8.01496390720742e-29
525.0289999999993,8.21379483837502e-29
525.0299999999993,8.417516770338826e-29
525.0309999999993,8.626248978510489e-29
525.0319999999992,8.840113621312203e-29
525.0329999999992,9.059235809229631e-29
525.0339999999992,9.283743675503143e-29
525.0349999999992,9.513768448495537e-29
525.0359999999991,9.749444525777924e-29
525.0369999999991,9.990909549969318e-29
525.0379999999991,1.0238304486377286e-28
525.0389999999991,1.0491773702476748e-28
525.039999999999,1.0751465049273154e-28
525.040999999999,1.1017529944592876e-28
525.041999999999,1.1290123458346488e-28
525.042999999999,1.1569404399811234e-28
525.043999999999,1.1855535406979537e-28
525.0449999999989,1.2148683038023267e-28
525.0459999999989,1.2449017864921124e-28
525.0469999999989,1.2756714569303423e-28
525.0479999999989,1.3071952040560937e-28
525.0489999999988,1.3394913476276693e-28
525.0499999999988,1.3725786485030985e-28
525.0509999999988,1.4064763191636844e-28
525.0519999999988,1.4412040344862622e-28
525.0529999999987,1.4767819427699463e-28
525.0539999999987,1.5132306770234058e-28
525.0549999999987,1.550571366518732e-28
525.0559999999987,1.5888256486180165e-28
525.0569999999987,1.6280156808792015e-28
525.0579999999986,1.668164153447712e-28
525.0589999999986,1.7092943017402608e-28
525.0599999999986,1.7514299194281194e-28
525.0609999999986,1.794595371726434e-28
525.0619999999985,1.8388156089970665e-28
525.0629999999985,1.8841161806719518e-28
525.0639999999985,1.9305232495047617e-28
525.0649999999985,1.9780636061583433e-28
525.0659999999984,2.0267646841358396e-28
525.0669999999984,2.0766545750635086e-28
525.0679999999984,2.12776204433334e-28
525.0689999999984,2.180116547114237e-28
525.0699999999983,2.2337482447396533e-28
525.0709999999983,2.288688021481184e-28
525.0719999999983,2.344967501716727e-28
525.0729999999983,2.402619067502452e-28
525.0739999999983,2.4616758765580233e-28
525.0749999999982,2.5221718806747073e-28
525.0759999999982,2.5841418445561e-28
525.0769999999982,2.647621365101832e-28
525.0779999999982,2.712646891144112e-28
525.0789999999981,2.779255743648074e-28
525.0799999999981,2.8474861363865034e-28
525.0809999999981,2.9173771971000326e-28
525.0819999999981,2.988968989153865e-28
525.082999999998,3.0623025337030956e-28
525.083999999998,3.1374198323778307e-28
525.084999999998,3.214363890500773e-28
525.085999999998,3.293178740848999e-28
525.0869999999979,3.3739094679732767e-28
525.0879999999979,3.4566022330871706e-28
525.0889999999979,3.541304299539735e-28
525.0899999999979,3.628064058885023e-28
525.0909999999978,3.716931057562134e-28
525.0919999999978,3.8079560242008613e-28
525.0929999999978,3.9011908975655724e-28
525.0939999999978,3.9966888551543705e-28
525.0949999999978,4.094504342467248e-28
525.0959999999977,4.194693102958974e-28
525.0969999999977,4.297312208693044e-28
525.0979999999977,4.402420091712494e-28
525.0989999999977,4.510076576144228e-28
525.0999999999976,4.620342911054267e-28
525.1009999999976,4.7332818040705005e-28
525.1019999999976,4.848957455791589e-28
525.1029999999976,4.967435594999828e-28
525.1039999999975,5.088783514695845e-28
525.1049999999975,5.213070108975726e-28
525.1059999999975,5.340365910768691e-28
525.1069999999975,5.470743130455581e-28
525.1079999999974,5.604275695389044e-28
525.1089999999974,5.741039290335225e-28
525.1099999999974,5.881111398859467e-28
525.1109999999974,6.024571345676604e-28
525.1119999999974,6.171500339989153e-28
525.1129999999973,6.321981519835427e-28
525.1139999999973,6.476099997471982e-28
525.1149999999973,6.633942905811926e-28
525.1159999999973,6.795599445946877e-28
525.1169999999972,6.961160935774326e-28
525.1179999999972,7.130720859758184e-28
525.1189999999972,7.304374919846985e-28
525.1199999999972,7.482221087577728e-28
525.1209999999971,7.664359657391832e-28
525.1219999999971,7.850893301191575e-28
525.1229999999971,8.041927124165084e-28
525.1239999999971,8.237568721909907e-28
525.124999999997,8.437928238884599e-28
525.125999999997,8.643118428218017e-28
525.126999999997,8.853254712909307e-28
525.127999999997,9.068455248449465e-28
525.128999999997,9.288840986897226e-28
525.1299999999969,9.514535742443052e-28
