,simulated
,envelope
eV,
525.0,3.8608911102053713e-28
525.001,3.957216139453818e-28
525.002,4.0559243814085e-28
525.0029999999999,4.157074297382561e-28
525.0039999999999,4.260725770236913e-28
525.0049999999999,4.366940138636374e-28
525.0059999999999,4.475780232123854e-28
525.0069999999998,4.587310407031887e-28
525.0079999999998,4.701596583251122e-28
525.0089999999998,4.818706281876117e-28
525.0099999999998,4.938708663749178e-28
525.0109999999997,5.061674568923442e-28
525.0119999999997,5.187676557066969e-28
525.0129999999997,5.316788948829764e-28
525.0139999999997,5.44908786819747e-28
525.0149999999996,5.5846512858532e-28
525.0159999999996,5.723559063573174e-28
525.0169999999996,5.86589299967956e-28
525.0179999999996,6.011736875575665e-28
525.0189999999996,6.16117650338879e-28
525.0199999999995,6.314299774747543e-28
525.0209999999995,6.471196710719479e-28
525.0219999999995,6.631959512936892e-28
525.0229999999995,6.796682615938904e-28
525.0239999999994,6.965462740757983e-28
525.0249999999994,7.138398949781288e-28
525.0259999999994,7.315592702914624e-28
525.0269999999994,7.49714791508265e-28
525.0279999999993,7.683171015094309e-28
525.0289999999993,7.87377100590728e-28
525.0299999999993,8.069059526322878e-28
525.0309999999993,8.269150914146721e-28
525.0319999999992,8.474162270847902e-28
525.0329999999992,8.684213527753357e-28
525.0339999999992,8.899427513812716e-28
525.0349999999992,9.119930024970246e-28
525.0359999999991,9.34584989518383e-28
525.0369999999991,9.577319069125032e-28
525.0379999999991,9.814472676605705e-28
525.0389999999991,1.0057449108766617e-27
525.039999999999,1.0306390096072464e-27
525.040999999999,1.0561440788154325e-27
525.041999999999,1.0822749835543314e-27
525.042999999999,1.1090469473339854e-27
525.043999999999,1.1364755606863445e-27
525.0449999999989,1.164576789933062e-27
525.0459999999989,1.1933669861606473e-27
525.0469999999989,1.222862894408176e-27
525.0479999999989,1.2530816630720405e-27
525.0489999999988,1.284040853533371e-27
525.0499999999988,1.3157584500129614e-27
525.0509999999988,1.3482528696591737e-27
525.0519999999988,1.381542972874263e-27
525.0529999999987,1.4156480738846533e-27
525.0539999999987,1.450587951560956e-27
525.0549999999987,1.486382860493547e-27
525.0559999999987,1.5230535423295621e-27
525.0569999999987,1.5606212373776084e-27
525.0579999999986,1.5991076964864209e-27
525.0589999999986,1.6385351932036012e-27
525.0599999999986,1.678926536221424e-27
525.0609999999986,1.72030508211602e-27
525.0619999999985,1.7626947483871055e-27
525.0629999999985,1.806120026804954e-27
525.0639999999985,1.850605997072096e-27
525.0649999999985,1.896178340806879e-27
525.0659999999984,1.9428633558564932e-27
525.0669999999984,1.9906879709471333e-27
525.0679999999984,2.0396797606790572e-27
525.0689999999984,2.0898669608749664e-27
525.0699999999983,2.1412784842892422e-27
525.0709999999983,2.193943936687168e-27
525.0719999999983,2.247893633302387e-27
525.0729999999983,2.3031586156814483e-27
525.0739999999983,2.3597706689245025e-27
525.0749999999982,2.4177623393313732e-27
525.0759999999982,2.477166952462342e-27
525.0769999999982,2.5380186316235733e-27
525.0779999999982,2.600352316786628e-27
525.0789999999981,2.664203783952582e-27
525.0799999999981,2.7296096649708937e-27
525.0809999999981,2.7966074678236312e-27
525.0819999999981,2.8652355973856826e-27
525.082999999998,2.935533376672505e-27
525.083999999998,3.007541068586158e-27
525.084999999998,3.0812998981717554e-27
525.085999999998,3.1568520753955826e-27
525.0869999999979,3.2342408184576784e-27
525.0879999999979,3.3135103776506136e-27
525.0889999999979,3.394706059777696e-27
525.0899999999979,3.477874253143291e-27
525.0909999999978,3.5630624531284055e-27
525.0919999999978,3.6503192883659654e-27
525.0929999999978,3.73969454752792e-27
525.0939999999978,3.8312392067404886e-27
525.0949999999978,3.925005457640709e-27
525.0959999999977,4.021046736089384e-27
525.0969999999977,4.1194177515560376e-27
525.0979999999977,4.220174517191111e-27
525.0989999999977,4.323374380601252e-27
525.0999999999976,4.4290760553444816e-27
525.1009999999976,4.5373396531610665e-27
525.1019999999976,4.6482267169580115e-27
525.1029999999976,4.761800254564226e-27
525.1039999999975,4.8781247732735064e-27
525.1049999999975,4.99726631519507e-27
525.1059999999975,5.119292493429013e-27
525.1069999999975,5.2442725290861296e-27
525.1079999999974,5.372277289172083e-27
525.1089999999974,5.50337932535495e-27
525.1099999999974,5.637652913637688e-27
525.1109999999974,5.775174094955271e-27
525.1119999999974,5.916020716718819e-27
525.1129999999973,6.0602724753278494e-27
525.1139999999973,6.2080109596740365e-27
525.1149999999973,6.3593196956571434e-27
525.1159999999973,6.514284191739705e-27
525.1169999999972,6.672991985561403e-27
525.1179999999972,6.835532691639671e-27
525.1189999999972,7.001998050180072e-27
525.1199999999972,7.172481977023203e-27
525.1209999999971,7.34708061475354e-27
525.1219999999971,7.525892384997442e-27
525.1229999999971,7.709018041937156e-27
525.1239999999971,7.896560727069661e-27
525.124999999997,8.088626025238564e-27
525.125999999997,8.285322021967476e-27
525.126999999997,8.486759362126539e-27
525.127999999997,8.69305130996164e-27
525.128999999997,8.904313810517793e-27
525.1299999999969,9.120665552488984e-27
