KE_O1s	BE_O1s	CPS_O1s	670eV_1_O1s	670eV_2_O1s	670eV_3_O1s	670eV_4_O1s	Background_O1s	Envelope_O1s
131.61	538.39	1107.26	1107.26	1107.26	1107.26	1107.26	1107.26	1107.26
131.71	538.29	1091.19	1100.75	1100.75	1100.75	1100.75	1100.75	1100.75
131.81	538.19	1104.1	1100.71	1100.71	1100.71	1100.71	1100.71	1100.71
131.91	538.09	1098	1100.68	1100.68	1100.68	1100.68	1100.68	1100.68
132.01	537.99	1087.8	1100.55	1100.55	1100.55	1100.55	1100.55	1100.55
132.11	537.89	1094.29	1100.48	1100.48	1100.48	1100.48	1100.48	1100.48
132.21	537.79	1098.49	1100.46	1100.46	1100.46	1100.46	1100.46	1100.46
132.31	537.69	1092.9	1100.38	1100.38	1100.38	1100.38	1100.38	1100.38
132.41	537.59	1102.94	1100.36	1100.36	1100.36	1100.36	1100.36	1100.36
132.51	537.49	1078.45	1100.13	1100.13	1100.13	1100.13	1100.13	1100.13
132.61	537.39	1083.94	1099.96	1099.96	1099.96	1099.96	1099.96	1099.96
132.71	537.29	1078.74	1099.73	1099.73	1099.73	1099.73	1099.73	1099.73
132.81	537.19	1085.26	1099.58	1099.58	1099.58	1099.58	1099.58	1099.58
132.91	537.09	1109.02	1099.48	1099.48	1099.48	1099.48	1099.48	1099.48
133.01	536.99	1100.45	1099.47	1099.47	1099.47	1099.47	1099.47	1099.47
133.11	536.89	1086.16	1099.33	1099.33	1099.33	1099.33	1099.33	1099.33
133.21	536.79	1088.87	1099.22	1099.22	1099.22	1099.22	1099.22	1099.22
133.31	536.69	1086.32	1099.09	1099.09	1099.09	1099.09	1099.09	1099.09
133.41	536.59	1095.13	1099.04	1099.04	1099.04	1099.04	1099.04	1099.04
133.51	536.49	1102.48	1099.01	1099.01	1099.01	1099.01	1099.01	1099.01
133.61	536.39	1099.74	1099	1099	1099	1099	1099	1099
133.71	536.29	1096.35	1098.97	1098.97	1098.97	1098.97	1098.97	1098.97
133.81	536.19	1096.54	1098.95	1098.95	1098.95	1098.95	1098.95	1098.95
133.91	536.09	1090.15	1098.85	1098.85	1098.85	1098.85	1098.85	1098.85
134.01	535.99	1097.44	1098.84	1098.84	1098.84	1098.84	1098.84	1098.84
134.11	535.89	1091.54	1098.76	1098.76	1098.76	1098.76	1098.76	1098.76
134.21	535.79	1086.36	1098.63	1098.63	1098.63	1098.63	1098.63	1098.63
134.31	535.69	1087.23	1098.51	1098.51	1098.51	1098.51	1098.51	1098.51
134.41	535.59	1094.08	1098.47	1098.47	1098.47	1098.47	1098.47	1098.47
134.51	535.49	1090.78	1098.39	1098.39	1098.39	1098.39	1098.39	1098.39
134.61	535.39	1095.68	1098.36	1098.36	1098.37	1098.36	1098.36	1098.37
134.71	535.29	1086.5	1098.23	1098.23	1098.26	1098.23	1098.23	1098.26
134.81	535.19	1096.89	1098.22	1098.22	1098.27	1098.22	1098.22	1098.27
134.91	535.09	1090.93	1098.14	1098.14	1098.22	1098.14	1098.14	1098.22
135.01	534.99	1110.91	1098	1098.01	1098.14	1098	1098	1098.14
135.11	534.89	1094.76	1097.97	1097.97	1098.2	1097.97	1097.97	1098.2
135.21	534.79	1092.13	1097.91	1097.91	1098.28	1097.91	1097.91	1098.28
135.31	534.69	1088.23	1097.81	1097.82	1098.38	1097.81	1097.81	1098.4
135.41	534.59	1104.69	1097.73	1097.75	1098.62	1097.73	1097.73	1098.64
135.51	534.49	1091.03	1097.66	1097.7	1099	1097.66	1097.66	1099.04
135.61	534.39	1095.83	1097.64	1097.72	1099.61	1097.64	1097.64	1099.68
135.71	534.29	1099.06	1097.63	1097.76	1100.45	1097.63	1097.63	1100.58
135.81	534.19	1119	1097.4	1097.63	1101.35	1097.4	1097.4	1101.57
135.91	534.09	1104.17	1097.33	1097.72	1102.71	1097.33	1097.33	1103.1
136.01	533.99	1118.29	1097.1	1097.76	1104.26	1097.1	1097.1	1104.92
136.11	533.89	1124.48	1096.81	1097.89	1106.06	1096.81	1096.81	1107.15
136.21	533.79	1127.23	1096.49	1098.23	1108.1	1096.48	1096.48	1109.85
136.31	533.69	1119.23	1096.24	1098.99	1110.37	1096.24	1096.24	1113.12
136.41	533.59	1115.01	1096.05	1100.27	1112.68	1096.04	1096.04	1116.92
136.51	533.49	1110.48	1095.9	1102.25	1114.81	1095.88	1095.88	1121.2
136.61	533.39	1129.59	1095.56	1104.89	1116.27	1095.52	1095.52	1125.67
136.71	533.29	1141.85	1095.09	1108.46	1116.93	1095.03	1095.03	1130.43
136.81	533.19	1139.63	1094.68	1113.35	1116.79	1094.55	1094.55	1135.72
136.91	533.09	1140.64	1094.29	1119.7	1115.78	1094.05	1094.05	1141.66
137.01	532.99	1141.12	1093.96	1127.64	1113.98	1093.55	1093.55	1148.48
137.11	532.89	1143.8	1093.73	1137.09	1111.5	1093.01	1093.01	1156.3
137.21	532.79	1158.83	1093.53	1147.63	1108.46	1092.31	1092.31	1165
137.31	532.69	1183.87	1093.36	1158.63	1104.95	1091.33	1091.32	1174.3
137.41	532.59	1186.49	1093.63	1169.55	1101.43	1090.31	1090.3	1184
137.51	532.49	1172.63	1094.72	1179.54	1098.23	1089.43	1089.42	1193.66
137.61	532.39	1184.21	1096.66	1187.23	1095.19	1088.42	1088.41	1202.28
137.71	532.29	1198.92	1099.77	1191.54	1092.3	1087.25	1087.22	1209.19
137.81	532.19	1190.8	1104.76	1192.05	1089.81	1086.16	1086.11	1214.44
137.91	532.09	1219.23	1111.77	1188.17	1087.31	1084.76	1084.68	1217.96
138.01	531.99	1227.92	1121.56	1180.43	1084.97	1083.29	1083.15	1220.8
138.11	531.89	1235.82	1134.63	1169.59	1082.75	1081.75	1081.51	1224.18
138.21	531.79	1255.97	1151.19	1156.56	1080.46	1080.05	1079.64	1229.32
138.31	531.69	1275.43	1171.32	1142.43	1078.07	1078.22	1077.54	1237.41
138.41	531.59	1272.62	1194.91	1128.45	1075.79	1076.54	1075.45	1249.32
138.51	531.49	1274.65	1220.96	1115.29	1073.53	1075.03	1073.32	1264.85
138.61	531.39	1277.18	1247.9	1103.42	1071.26	1073.77	1071.13	1282.95
138.71	531.29	1305.12	1273.19	1092.79	1068.7	1072.6	1068.63	1301.4
138.81	531.19	1327.6	1294.29	1083.46	1065.89	1071.71	1065.85	1317.8
138.91	531.09	1324.02	1308.89	1075.59	1063.11	1071.51	1063.08	1329.85
139.01	530.99	1340.56	1314.69	1068.79	1060.12	1071.94	1060.11	1335.22
139.11	530.89	1317.46	1310.99	1063.23	1057.36	1073.54	1057.35	1333.07
139.21	530.79	1313.81	1297.65	1058.5	1054.61	1076.17	1054.6	1323.12
139.31	530.69	1305.41	1276.05	1054.43	1051.92	1079.87	1051.91	1306.52
139.41	530.59	1283.6	1248.66	1051.02	1049.43	1084.62	1049.43	1285.44
139.51	530.49	1258.24	1218.16	1048.18	1047.19	1090.15	1047.19	1262.09
139.61	530.39	1228.08	1187.14	1045.85	1045.25	1096	1045.25	1238.47
139.71	530.29	1225.01	1157.4	1043.68	1043.33	1101.23	1043.33	1215.66
139.81	530.19	1185.27	1130.81	1042.01	1041.81	1105.53	1041.81	1194.74
139.91	530.09	1188.31	1107.76	1040.35	1040.24	1107.78	1040.24	1175.42
140.01	529.99	1158.25	1088.85	1039.04	1038.97	1107.86	1038.97	1157.81
140.11	529.89	1137.64	1073.82	1037.95	1037.91	1105.46	1037.91	1141.4
140.21	529.79	1121.42	1062.23	1037.04	1037.02	1100.74	1037.02	1125.97
140.31	529.69	1113.04	1053.48	1036.21	1036.2	1094.11	1036.2	1111.39
140.41	529.59	1096.63	1047.11	1035.56	1035.56	1086.3	1035.56	1097.86
140.51	529.49	1090.77	1042.52	1034.97	1034.96	1077.92	1034.96	1085.48
140.61	529.39	1081.49	1039.3	1034.47	1034.47	1069.66	1034.47	1074.49
140.71	529.29	1063.71	1037.18	1034.15	1034.15	1062.1	1034.15	1065.13
140.81	529.19	1079.64	1035.51	1033.67	1033.67	1055.23	1033.67	1057.08
