,simulated
,envelope
eV,
525.0,1.1605028367786992e-29
525.001,1.1894561189471616e-29
525.002,1.2191257448376973e-29
525.0029999999999,1.2495292866940957e-29
525.0039999999999,1.280684744047571e-29
525.0049999999999,1.3126105540134397e-29
525.0059999999999,1.3453256018336823e-29
525.0069999999998,1.3788492316711977e-29
525.0079999999998,1.413201257661641e-29
525.0089999999998,1.4484019752289563e-29
525.0099999999998,1.4844721726708478e-29
525.0109999999997,1.5214331430205543e-29
525.0119999999997,1.5593066961914703e-29
525.0129999999997,1.5981151714112056e-29
525.0139999999997,1.6378814499522163e-29
525.0149999999996,1.678628968165461e-29
525.0159999999996,1.7203817308247975e-29
525.0169999999996,1.7631643247891556e-29
525.0179999999996,1.807001932990033e-29
525.0189999999996,1.8519203487519444e-29
525.0199999999995,1.897945990453853e-29
525.0209999999995,1.94510591653938e-29
525.0219999999995,1.9934278408841438e-29
525.0229999999995,2.042940148528693e-29
525.0239999999994,2.093671911785489e-29
525.0249999999994,2.1456529067290772e-29
525.0259999999994,2.198913630077789e-29
525.0269999999994,2.2534853164771028e-29
525.0279999999993,2.3093999561933514e-29
525.0289999999993,2.3666903132279554e-29
525.0299999999993,2.4253899438616153e-29
525.0309999999993,2.4855332156390797e-29
525.0319999999992,2.5471553268043373e-29
525.0329999999992,2.610292326197255e-29
525.0339999999992,2.67498113362227e-29
525.0349999999992,2.741259560700138e-29
525.0359999999991,2.80916633221475e-29
525.0369999999991,2.878741107965247e-29
525.0379999999991,2.9500245051370906e-29
525.0389999999991,3.0230581212027737e-29
525.039999999999,3.0978845573654775e-29
525.040999999999,3.1745474425580415e-29
525.041999999999,3.253091458010383e-29
525.042999999999,3.333562362398725e-29
525.043999999999,3.416007017590115e-29
525.0449999999989,3.50047341499659e-29
525.0459999999989,3.5870107025525876e-29
525.0469999999989,3.6756692123312854e-29
525.0479999999989,3.7665004888133e-29
525.0489999999988,3.8595573178247024e-29
525.0499999999988,3.954893756158848e-29
525.0509999999988,4.052565161898507e-29
525.0519999999988,4.152628225454626e-29
525.0529999999987,4.25514100133836e-29
525.0539999999987,4.360162940683781e-29
525.0549999999987,4.46775492453873e-29
525.0559999999987,4.577979297941456e-29
525.0569999999987,4.6908999048019323e-29
525.0579999999986,4.8065821236066174e-29
525.0589999999986,4.92509290396506e-29
525.0599999999986,5.04650080401939e-29
525.0609999999986,5.170876028735626e-29
525.0619999999985,5.29829046909836e-29
525.0629999999985,5.428817742228968e-29
525.0639999999985,5.562533232449795e-29
525.0649999999985,5.699514133315816e-29
525.0659999999984,5.839839490636575e-29
525.0669999999984,5.983590246511504e-29
525.0679999999984,6.13084928440193e-29
525.0689999999984,6.281701475265065e-29
525.0699999999983,6.436233724772694e-29
525.0709999999983,6.594535021641931e-29
525.0719999999983,6.756696487102883e-29
525.0729999999983,6.92281142552983e-29
525.0739999999983,7.092975376263127e-29
525.0749999999982,7.2672861666496e-29
525.0759999999982,7.445843966329465e-29
525.0769999999982,7.628751342799646e-29
525.0779999999982,7.816113318281858e-29
525.0789999999981,8.008037427927089e-29
525.0799999999981,8.204633779386942e-29
525.0809999999981,8.406015113783784e-29
525.0819999999981,8.612296868111565e-29
525.082999999998,8.823597239102102e-29
525.083999999998,9.040037248589093e-29
525.084999999998,9.261740810406331e-29
525.085999999998,9.488834798853953e-29
525.0869999999979,9.721449118771167e-29
525.0879999999979,9.959716777250725e-29
525.0889999999979,1.020377395703494e-28
525.0899999999979,1.0453760091631329e-28
525.0909999999978,1.0709817942187452e-28
525.0919999999978,1.097209367616832e-28
525.0929999999978,1.1240736947872793e-28
525.0939999999978,1.1515900980838053e-28
525.0949999999978,1.1797742652171723e-28
525.0959999999977,1.208642257885693e-28
525.0969999999977,1.2382105206077355e-28
525.0979999999977,1.2684958897607896e-28
525.0989999999977,1.2995156028318764e-28
525.0999999999976,1.3312873078843333e-28
525.1009999999976,1.363829073245738e-28
525.1019999999976,1.3971593974223554e-28
525.1029999999976,1.4312972192452295e-28
525.1039999999975,1.466261928253083e-28
525.1049999999975,1.5020733753179428e-28
525.1059999999975,1.538751883518725e-28
525.1069999999975,1.5763182592686152e-28
525.1079999999974,1.6147938037022557e-28
525.1089999999974,1.654200324328454e-28
525.1099999999974,1.6945601469548976e-28
525.1109999999974,1.7358961278907967e-28
525.1119999999974,1.7782316664341805e-28
525.1129999999973,1.8215907176501875e-28
525.1139999999973,1.8659978054473811e-28
525.1149999999973,1.9114780359583065e-28
525.1159999999973,1.9580571112322715e-28
525.1169999999972,2.005761343246648e-28
525.1179999999972,2.0546176682446768e-28
525.1189999999972,2.1046536614068385e-28
525.1199999999972,2.1558975518638447e-28
525.1209999999971,2.2083782380588905e-28
525.1219999999971,2.2621253034673296e-28
525.1229999999971,2.3171690326818637e-28
525.1239999999971,2.3735404278719043e-28
525.124999999997,2.431271225625581e-28
525.125999999997,2.4903939141829546e-28
525.126999999997,2.5509417510699402e-28
525.127999999997,2.612948781141833e-28
525.128999999997,2.676449855045885e-28
