,simulated
,envelope
eV,
525.0,3.835261427707345e-28
525.001,3.930947024284485e-28
525.002,4.029000013130754e-28
525.0029999999999,4.129478467476636e-28
525.0039999999999,4.232441872663744e-28
525.0049999999999,4.33795116017357e-28
525.0059999999999,4.44606874246882e-28
525.0069999999998,4.55685854866657e-28
525.0079999999998,4.670386061062671e-28
525.0089999999998,4.786718352527642e-28
525.0099999999998,4.905924124794635e-28
525.0109999999997,5.0280737476605685e-28
525.0119999999997,5.1532392991219895e-28
525.0129999999997,5.281494606467501e-28
525.0139999999997,5.412915288350288e-28
525.0149999999996,5.547578797862112e-28
525.0159999999996,5.685564466634231e-28
525.0169999999996,5.8269535499885175e-28
525.0179999999996,5.971829273163725e-28
525.0189999999996,6.120276878642088e-28
525.0199999999995,6.272383674602833e-28
525.0209999999995,6.428239084528316e-28
525.0219999999995,6.5879346979904285e-28
525.0229999999995,6.75156432264523e-28
525.0239999999994,6.919224037463733e-28
525.0249999999994,7.091012247229077e-28
525.0259999999994,7.267029738327633e-28
525.0269999999994,7.447379735867532e-28
525.0279999999993,7.632167962153305e-28
525.0289999999993,7.8215026965503025e-28
525.0299999999993,8.0154948367700395e-28
525.0309999999993,8.214257961611577e-28
525.0319999999992,8.417908395191477e-28
525.0329999999992,8.626565272698756e-28
525.0339999999992,8.84035060770988e-28
525.0349999999992,9.059389361100219e-28
525.0359999999991,9.283809511591554e-28
525.0369999999991,9.513742127969565e-28
525.0379999999991,9.749321443016357e-28
525.0389999999991,9.990684929193328e-28
525.039999999999,1.0237973376118441e-27
525.040999999999,1.0491330969878644e-27
525.041999999999,1.0750905374220966e-27
525.042999999999,1.1016847813666357e-27
525.043999999999,1.12893131585909e-27
525.0449999999989,1.1568460012321733e-27
525.0459999999989,1.1854450800292778e-27
525.0469999999989,1.2147451861311945e-27
525.0479999999989,1.2447633540984303e-27
525.0489999999988,1.275517028734723e-27
525.0499999999988,1.3070240748765428e-27
525.0509999999988,1.3393027874140353e-27
525.0519999999988,1.3723719015487936e-27
525.0529999999987,1.4062506032939669e-27
525.0539999999987,1.4409585402224542e-27
525.0549999999987,1.4765158324689558e-27
525.0559999999987,1.5129430839917129e-27
525.0569999999987,1.550261394100182e-27
525.0579999999986,1.5884923692548388e-27
525.0589999999986,1.6276581351452035e-27
525.0599999999986,1.6677813490530277e-27
525.0609999999986,1.708885212506913e-27
525.0619999999985,1.750993484235475e-27
525.0629999999985,1.7941304934257202e-27
525.0639999999985,1.838321153294051e-27
525.0649999999985,1.8835909749769988e-27
525.0659999999984,1.9299660817492387e-27
525.0669999999984,1.9774732235764974e-27
525.0679999999984,2.0261397920110703e-27
525.0689999999984,2.0759938354383168e-27
525.0699999999983,2.1270640746816103e-27
525.0709999999983,2.179379918974829e-27
525.0719999999983,2.2329714823105558e-27
525.0729999999983,2.2878696001728135e-27
525.0739999999983,2.344105846663305e-27
525.0749999999982,2.4017125520303523e-27
525.0759999999982,2.4607228206097802e-27
525.0769999999982,2.521170549187638e-27
525.0779999999982,2.583090445794115e-27
525.0789999999981,2.646518048939118e-27
525.0799999999981,2.7114897472995717e-27
525.0809999999981,2.7780427998689956e-27
525.0819999999981,2.846215356579904e-27
525.082999999998,2.9160464794105016e-27
525.083999999998,2.9875761639863663e-27
525.084999999998,3.0608453616891525e-27
525.085999999998,3.1358960022835024e-27
525.0869999999979,3.2127710170748714e-27
525.0879999999979,3.2915143626099266e-27
525.0889999999979,3.372171044932656e-27
525.0899999999979,3.454787144408797e-27
525.0909999999978,3.539409841131642e-27
525.0919999999978,3.626087440923555e-27
525.0929999999978,3.714869401945261e-27
525.0939999999978,3.805806361929097e-27
525.0949999999978,3.8989501660493176e-27
525.0959999999977,3.994353895444429e-27
525.0969999999977,4.092071896407094e-27
525.0979999999977,4.192159810256683e-27
525.0989999999977,4.294674603910282e-27
525.0999999999976,4.3996746011687794e-27
525.1009999999976,4.5072195147337805e-27
525.1019999999976,4.617370478973143e-27
525.1029999999976,4.730190083452061e-27
525.1039999999975,4.845742407246751e-27
525.1049999999975,4.964093054060309e-27
525.1059999999975,5.0853091881580314e-27
525.1069999999975,5.209459571141485e-27
525.1079999999974,5.336614599581193e-27
525.1089999999974,5.466846343526826e-27
525.1099999999974,5.600228585916317e-27
525.1109999999974,5.736836862903499e-27
525.1119999999974,5.876748505126453e-27
525.1129999999973,6.020042679937552e-27
525.1139999999973,6.166800434618431e-27
525.1149999999973,6.317104740600407e-27
525.1159999999973,6.471040538716763e-27
525.1169999999972,6.62869478550767e-27
525.1179999999972,6.790156500604164e-27
525.1189999999972,6.955516815214482e-27
525.1199999999972,7.124869021739424e-27
525.1209999999971,7.29830862454192e-27
525.1219999999971,7.47593339189785e-27
525.1229999999971,7.657843409154825e-27
525.1239999999971,7.84414113312752e-27
525.124999999997,8.034931447757619e-27
525.125999999997,8.230321721066586e-27
525.126999999997,8.430421863432753e-27
525.127999999997,8.63534438722205e-27
525.128999999997,8.845204467803627e-27
525.1299999999969,9.060120005982494e-27
