B.E.	O 1s:CPS	O 1s:O*	O 1s:OH	O 1s:H2O	O 1s:Multi H2O	O 1s:gas phase	Background	Envelope		
5.420000e+002	1.716885e+003	1.716885e+003	1.716885e+003	1.716885e+003	1.716885e+003	1.716885e+003	1.716885e+003	1.716885e+003		
5.419000e+002	1.734608e+003	1.734608e+003	1.734608e+003	1.734608e+003	1.734608e+003	1.734608e+003	1.734608e+003	1.734608e+003		
5.418000e+002	1.725422e+003	1.725422e+003	1.725422e+003	1.725422e+003	1.725422e+003	1.725422e+003	1.725422e+003	1.725422e+003		
5.417000e+002	1.716777e+003	1.716777e+003	1.716777e+003	1.716777e+003	1.716777e+003	1.716777e+003	1.716777e+003	1.716777e+003		
5.416000e+002	1.712910e+003	1.712910e+003	1.712910e+003	1.712910e+003	1.712910e+003	1.712910e+003	1.712910e+003	1.712910e+003		
5.415000e+002	1.714565e+003	1.714565e+003	1.714565e+003	1.714565e+003	1.714565e+003	1.714565e+003	1.714565e+003	1.714565e+003		
5.414000e+002	1.707710e+003	1.707710e+003	1.707710e+003	1.707710e+003	1.707710e+003	1.707710e+003	1.707710e+003	1.707710e+003		
5.413000e+002	1.716703e+003	1.716703e+003	1.716703e+003	1.716703e+003	1.716703e+003	1.716703e+003	1.716703e+003	1.716703e+003		
5.412000e+002	1.731533e+003	1.731533e+003	1.731533e+003	1.731533e+003	1.731533e+003	1.731533e+003	1.731533e+003	1.731533e+003		
5.411000e+002	1.700355e+003	1.700355e+003	1.700355e+003	1.700355e+003	1.700355e+003	1.700355e+003	1.700355e+003	1.700355e+003		
5.410000e+002	1.703445e+003	1.703445e+003	1.703445e+003	1.703445e+003	1.703445e+003	1.703445e+003	1.703445e+003	1.703445e+003		
5.409000e+002	1.753950e+003	1.753950e+003	1.753950e+003	1.753950e+003	1.753950e+003	1.753950e+003	1.753950e+003	1.753950e+003		
5.408000e+002	1.748480e+003	1.748480e+003	1.748480e+003	1.748480e+003	1.748480e+003	1.748480e+003	1.748480e+003	1.748480e+003		
