BE_O1s	CPS_O1s	670eV_1_O1s	670eV_2_O1s	670eV_3_O1s	670eV_4_O1s	670eV_5_O1s	Background_O1s	Envelope_O1s
538.501	1000.67	1000.67	1000.67	1000.67	1000.67	1000.67	1000.67	1000.67
538.401	991.428	1000.62	1000.62	1000.62	1000.62	1000.62	1000.62	1000.62
538.301	1017.22	1000.52	1000.52	1000.52	1000.52	1000.52	1000.52	1000.52
538.201	1006.8	1000.49	1000.49	1000.49	1000.49	1000.49	1000.49	1000.49
538.101	1009.78	1000.44	1000.44	1000.44	1000.44	1000.44	1000.44	1000.44
538.001	996.674	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41
537.901	999.684	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41
537.801	1000.85	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41	1000.41
537.701	1007.17	1000.37	1000.37	1000.37	1000.37	1000.37	1000.37	1000.37
537.601	1003.78	1000.35	1000.35	1000.35	1000.35	1000.35	1000.35	1000.35
537.501	1002.15	1000.34	1000.34	1000.34	1000.34	1000.34	1000.34	1000.34
537.401	991.515	1000.29	1000.29	1000.29	1000.29	1000.29	1000.29	1000.29
537.301	1002.29	1000.28	1000.28	1000.28	1000.28	1000.28	1000.28	1000.28
537.201	1001.07	1000.27	1000.27	1000.27	1000.27	1000.27	1000.27	1000.27
537.101	999.546	1000.27	1000.27	1000.27	1000.27	1000.27	1000.27	1000.27
537.001	1005.42	1000.24	1000.24	1000.24	1000.25	1000.24	1000.24	1000.25
536.901	1014.69	1000.16	1000.16	1000.16	1000.17	1000.16	1000.16	1000.17
536.801	999.291	1000.15	1000.15	1000.15	1000.19	1000.15	1000.15	1000.19
536.701	989.626	1000.09	1000.09	1000.09	1000.17	1000.09	1000.09	1000.17
536.601	1006.46	1000.06	1000.06	1000.06	1000.24	1000.06	1000.06	1000.24
536.501	993.123	1000.02	1000.02	1000.02	1000.42	1000.02	1000.02	1000.42
536.401	1010.47	999.96	999.96	999.96	1000.8	999.96	999.96	1000.8
536.301	1016.35	999.866	999.866	999.867	1001.57	999.866	999.866	1001.57
536.201	1002.23	999.853	999.853	999.853	1003.13	999.853	999.853	1003.13
536.101	1007.43	999.81	999.81	999.811	1005.85	999.81	999.81	1005.85
536.001	1003.62	999.788	999.788	999.79	1010.38	999.788	999.788	1010.38
535.901	1014.4	999.705	999.705	999.708	1017.43	999.705	999.705	1017.43
535.801	1035.76	999.5	999.5	999.505	1027.64	999.5	999.5	1027.64
535.701	1031.85	999.316	999.316	999.324	1041.68	999.316	999.316	1041.69
535.601	1069.59	998.917	998.917	998.931	1059.1	998.917	998.917	1059.11
535.501	1076.45	998.476	998.476	998.502	1078.81	998.476	998.476	1078.84
535.401	1087.95	997.967	997.967	998.012	1098.18	997.967	997.967	1098.23
535.301	1108.7	997.338	997.338	997.414	1113.54	997.338	997.338	1113.62
535.201	1135.6	996.552	996.552	996.678	1121.28	996.552	996.552	1121.41
535.101	1126.08	995.815	995.817	996.022	1119.45	995.815	995.815	1119.66
535.001	1105.3	995.193	995.196	995.524	1108.4	995.193	995.193	1108.73
534.901	1082.76	994.695	994.701	995.216	1090.72	994.695	994.695	1091.25
534.801	1070.24	994.265	994.277	995.067	1070.07	994.265	994.265	1070.88
534.701	1048.65	993.956	993.978	995.166	1049.94	993.956	993.956	1051.17
534.601	1034.33	993.726	993.767	995.515	1032.62	993.726	993.726	1034.45
534.501	1024.71	993.55	993.621	996.141	1019.07	993.55	993.55	1021.73
534.401	1006.01	993.48	993.602	997.156	1009.37	993.479	993.479	1013.17
534.301	1020.54	993.326	993.534	998.434	1002.72	993.326	993.326	1008.04
534.201	1013.48	993.211	993.558	1000.15	998.51	993.211	993.211	1005.8
534.101	1013.51	993.096	993.663	1002.32	995.94	993.096	993.096	1005.73
534.001	1014.68	992.974	993.881	1004.94	994.434	992.973	992.973	1007.31
533.901	1010.51	992.875	994.299	1008.02	993.588	992.873	992.873	1010.16
533.801	1017.7	992.735	994.926	1011.41	993.067	992.732	992.732	1013.94
533.701	1022.96	992.566	995.87	1014.96	992.71	992.56	992.56	1018.42
533.601	1024.93	992.386	997.27	1018.47	992.44	992.376	992.376	1023.44
533.501	1032.68	992.166	999.236	1021.64	992.173	992.147	992.147	1028.77
533.401	1033.61	991.947	1001.97	1024.18	991.921	991.911	991.911	1034.29
533.301	1042.27	991.688	1005.6	1025.79	991.629	991.625	991.625	1039.84
533.201	1056.24	991.37	1010.26	1026.23	991.259	991.258	991.258	1045.34
533.101	1052.59	991.103	1016.15	1025.49	990.909	990.909	990.909	1050.93
533.001	1043.56	990.939	1023.36	1023.67	990.61	990.61	990.61	1056.75
532.901	1061	990.758	1031.66	1020.76	990.209	990.211	990.209	1062.77
532.801	1069.58	990.654	1040.86	1017.1	989.758	989.761	989.758	1069.1
532.701	1064.32	990.769	1050.63	1013.05	989.334	989.339	989.334	1075.79
532.601	1075.48	991.097	1060.26	1008.82	988.844	988.854	988.844	1082.49
532.501	1087.55	991.75	1068.98	1004.64	988.283	988.3	988.283	1088.82
532.401	1090.37	992.933	1076.01	1000.74	987.703	987.733	987.703	1094.32
532.301	1095.52	994.823	1080.59	997.229	987.09	987.144	987.09	1098.52
532.201	1083.05	997.748	1082.24	994.238	986.544	986.638	986.544	1101.23
532.101	1101.46	1001.79	1080.53	991.596	985.891	986.05	985.891	1102.29
532.001	1102.16	1007.32	1075.68	989.368	985.23	985.494	985.23	1102.18
531.901	1096.48	1014.63	1068.21	987.536	984.597	985.029	984.597	1101.61
531.801	1113.78	1023.76	1058.68	985.906	983.863	984.554	983.863	1101.31
531.701	1112.94	1034.89	1048.03	984.521	983.129	984.214	983.129	1102.27
531.601	1127.23	1047.82	1036.97	983.239	982.31	983.979	982.31	1105.08
531.501	1140.63	1062.17	1026.17	982.017	981.409	983.928	981.409	1110.06
531.401	1130.58	1077.43	1016.25	980.951	980.561	984.285	980.561	1117.23
531.301	1128.94	1092.57	1007.46	979.963	979.718	985.113	979.718	1125.96
531.201	1135.13	1106.36	999.889	978.985	978.834	986.491	978.834	1135.22
531.101	1140.46	1117.48	993.528	978.007	977.915	988.554	977.915	1143.82
531.001	1149.97	1124.7	988.262	976.991	976.937	991.398	976.937	1150.54
530.901	1140.7	1127.23	984.047	976.037	976.006	995.218	976.006	1154.52
530.801	1141.7	1124.62	980.655	975.082	975.064	999.99	975.064	1155.16
530.701	1147.75	1117.03	977.891	974.092	974.082	1005.63	974.082	1152.4
530.601	1156.41	1105.18	975.588	973.051	973.045	1011.94	973.045	1146.62
530.501	1131.2	1090.39	973.81	972.149	972.146	1018.79	972.146	1138.71
530.401	1139.14	1073.77	972.264	971.198	971.197	1025.54	971.197	1129.19
530.301	1105.33	1056.82	971.105	970.435	970.434	1031.85	970.434	1118.9
530.201	1097.66	1040.45	970.125	969.711	969.711	1036.92	969.711	1108.07
530.101	1095.09	1025.4	969.248	968.998	968.998	1040.16	968.998	1096.81
530.001	1077.33	1012.23	968.53	968.382	968.382	1041.21	968.382	1085.2
529.901	1068.36	1001.09	967.9	967.814	967.813	1039.84	967.813	1073.2
529.801	1065.28	991.933	967.309	967.259	967.259	1036.1	967.259	1060.82
529.701	1050.51	984.683	966.814	966.786	966.786	1030.42	966.786	1048.34
529.601	1042.16	979.065	966.373	966.357	966.357	1023.3	966.357	1036.02
529.501	1028.81	974.839	966.01	966.002	966.002	1015.4	966.002	1024.24
529.401	1015.41	971.741	965.726	965.721	965.721	1007.32	965.721	1013.35
529.301	1010.6	969.484	965.469	965.466	965.466	999.53	965.466	1003.55
529.201	1017.26	967.801	965.173	965.172	965.172	992.332	965.172	994.962
529.101	1006.28	966.625	964.939	964.938	964.938	986.053	964.938	987.74
529.001	984.952	965.885	964.825	964.824	964.824	980.848	964.824	981.909
528.901	988.335	965.345	964.691	964.691	964.691	976.573	964.691	977.227
528.801	992.969	964.925	964.53	964.53	964.53	973.149	964.53	973.544
528.701	964.954	964.762	964.528	964.527	964.527	970.647	964.527	970.882
528.601	970.954	964.627	964.491	964.491	964.491	968.746	964.491	968.883
528.501	973.037	964.52	964.442	964.442	964.442	967.341	964.442	967.419
528.401	964.876	964.483	964.44	964.44	964.44	966.375	964.44	966.418
528.301	967.632	964.446	964.422	964.422	964.422	965.688	964.422	965.712
528.201	958.777	964.403	964.39	964.39	964.39	965.202	964.39	965.215
528.101	973.692	964.344	964.337	964.337	964.337	964.848	964.337	964.855
528.001	969.514	964.311	964.308	964.308	964.308	964.623	964.308	964.626
527.901	970.128	964.276	964.275	964.275	964.275	964.465	964.275	964.467
527.801	972.094	964.231	964.23	964.23	964.23	964.343	964.23	964.344
527.701	963.859	964.228	964.228	964.228	964.228	964.294	964.228	964.294
527.601	954.782	964.175	964.175	964.175	964.175	964.212	964.175	964.213
527.501	954.137	964.119	964.119	964.119	964.119	964.139	964.119	964.14
527.401	961.134	964.102	964.102	964.102	964.102	964.113	964.102	964.113
527.301	962.599	964.093	964.093	964.093	964.093	964.099	964.093	964.099
527.201	961.771	964.08	964.08	964.08	964.08	964.083	964.08	964.083
527.101	962.934	964.074	964.074	964.074	964.074	964.075	964.074	964.075
527.001	969.008	964.046	964.046	964.046	964.046	964.047	964.046	964.047
526.901	949.019	963.961	963.961	963.961	963.961	963.962	963.961	963.962
526.801	966.745	963.945	963.945	963.945	963.945	963.946	963.945	963.946
526.701	963.166	963.941	963.941	963.941	963.941	963.941	963.941	963.941
526.601	960.635	963.922	963.922	963.922	963.922	963.923	963.922	963.923
526.501	946.409	963.824	963.824	963.824	963.824	963.824	963.824	963.824
526.401	965.983	963.812	963.812	963.812	963.812	963.812	963.812	963.812
526.301	960.891	963.795	963.795	963.795	963.795	963.795	963.795	963.795
526.201	952.167	963.73	963.73	963.73	963.73	963.73	963.73	963.73
526.101	947.018	963.636	963.636	963.636	963.636	963.636	963.636	963.636
526.001	962.849	963.632	963.632	963.632	963.632	963.632	963.632	963.632
525.901	952.374	963.568	963.568	963.568	963.568	963.568	963.568	963.568
525.801	950.748	963.496	963.496	963.496	963.496	963.496	963.496	963.496
525.701	955.344	963.45	963.45	963.45	963.45	963.45	963.45	963.45
525.601	958.043	963.42	963.42	963.42	963.42	963.42	963.42	963.42
525.501	963.42	963.42	963.42	963.42	963.42	963.42	963.42	963.42
