,simulated
,envelope
eV,
525.0,3.59231161615899e-30
525.001,3.681935879564545e-30
525.002,3.7737775695855646e-30
525.0029999999999,3.8678910807255655e-30
525.0039999999999,3.964332130147113e-30
525.0049999999999,4.063157789544978e-30
525.0059999999999,4.164426517780401e-30
525.0069999999998,4.268198194294477e-30
525.0079999999998,4.374534153318884e-30
525.0089999999998,4.483497218902871e-30
525.0099999999998,4.595151740775836e-30
525.0109999999997,4.709563631065192e-30
525.0119999999997,4.8268004018897846e-30
525.0129999999997,4.946931203849254e-30
525.0139999999997,5.070026865431433e-30
525.0149999999996,5.196159933357745e-30
525.0159999999996,5.3254047138905045e-30
525.0169999999996,5.457837315123875e-30
525.0179999999996,5.5935356902818626e-30
525.0189999999996,5.732579682046964e-30
525.0199999999995,5.8750510679443044e-30
525.0209999999995,6.0210336068054296e-30
525.0219999999995,6.170613086337564e-30
525.0229999999995,6.323877371824576e-30
525.0239999999994,6.480916455985795e-30
525.0249999999994,6.641822510020975e-30
525.0259999999994,6.806689935867255e-30
525.0269999999994,6.975615419699419e-30
525.0279999999993,7.148697986700395e-30
525.0289999999993,7.326039057133475e-30
525.0299999999993,7.507742503745461e-30
525.0309999999993,7.693914710533611e-30
525.0319999999992,7.884664632906857e-30
525.0329999999992,8.080103859275422e-30
525.0339999999992,8.280346674101672e-30
525.0349999999992,8.485510122446248e-30
525.0359999999991,8.695714076046686e-30
525.0369999999991,8.91108130096017e-30
525.0379999999991,9.1317375268127e-30
525.0389999999991,9.35781151768774e-30
525.039999999999,9.58943514469558e-30
525.040999999999,9.826743460261601e-30
525.041999999999,1.0069874774174227e-29
525.042999999999,1.0318970731433793e-29
525.043999999999,1.0574176391944178e-29
525.0449999999989,1.0835640312091524e-29
525.0459999999989,1.1103514628252264e-29
525.0469999999989,1.1377955142278898e-29
525.0479999999989,1.1659121409005136e-29
525.0489999999988,1.1947176825822912e-29
525.0499999999988,1.2242288724376123e-29
525.0509999999988,1.2544628464422139e-29
525.0519999999988,1.2854371529911604e-29
525.0529999999987,1.317169762733811e-29
525.0539999999987,1.3496790786411506e-29
525.0549999999987,1.3829839463109054e-29
525.0559999999987,1.4171036645158912e-29
525.0569999999987,1.4520579960014507e-29
525.0579999999986,1.4878671785377846e-29
525.0589999999986,1.5245519362328777e-29
525.0599999999986,1.5621334911125226e-29
525.0609999999986,1.600633574973315e-29
525.0619999999985,1.6400744415152834e-29
525.0629999999985,1.6804788787603937e-29
525.0639999999985,1.7218702217638817e-29
525.0649999999985,1.7642723656250624e-29
525.0659999999984,1.8077097788046796e-29
525.0669999999984,1.8522075167559444e-29
525.0679999999984,1.8977912358764765e-29
525.0689999999984,1.9444872077889858e-29
525.0699999999983,1.9923223339577108e-29
525.0709999999983,2.041324160649106e-29
525.0719999999983,2.091520894244447e-29
525.0729999999983,2.1429414169126053e-29
525.0739999999983,2.195615302651407e-29
525.0749999999982,2.2495728337061731e-29
525.0759999999982,2.3048450173741206e-29
525.0769999999982,2.3614636032038654e-29
525.0779999999982,2.4194611005988185e-29
525.0789999999981,2.478870796834255e-29
525.0799999999981,2.5397267754975007e-29
525.0809999999981,2.602063935361104e-29
525.0819999999981,2.6659180096988833e-29
525.082999999998,2.731325586055591e-29
525.083999999998,2.798324126480209e-29
525.084999999998,2.866951988234145e-29
525.085999999998,2.937248444984815e-29
525.0869999999979,3.009253708496501e-29
525.0879999999979,3.08300895082942e-29
525.0889999999979,3.1585563270592953e-29
525.0899999999979,3.2359389985292504e-29
525.0909999999978,3.315201156646245e-29
525.0919999999978,3.3963880472354994e-29
525.0929999999978,3.479545995464174e-29
525.0939999999978,3.564722431349499e-29
525.0949999999978,3.6519659158635953e-29
525.0959999999977,3.741326167649026e-29
525.0969999999977,3.8328540903596254e-29
525.0979999999977,3.926601800640735e-29
525.0989999999977,4.02262265676365e-29
525.0999999999976,4.120971287929843e-29
525.1009999999976,4.2217036242597326e-29
525.1019999999976,4.3248769274826346e-29
525.1029999999976,4.43054982234378e-29
525.1039999999975,4.53878232874435e-29
525.1049999999975,4.6496358946328744e-29
525.1059999999975,4.7631734296641844e-29
525.1069999999975,4.8794593396439753e-29
525.1079999999974,4.998559561777603e-29
525.1089999999974,5.120541600740793e-29
525.1099999999974,5.245474565592335e-29
525.1109999999974,5.373429207547112e-29
525.1119999999974,5.504477958630248e-29
525.1129999999973,5.638694971232032e-29
525.1139999999973,5.776156158585387e-29
525.1149999999973,5.916939236185074e-29
525.1159999999973,6.061123764173424e-29
525.1169999999972,6.208791190712004e-29
525.1179999999972,6.360024896363995e-29
525.1189999999972,6.514910239509098e-29
525.1199999999972,6.67353460281594e-29
525.1209999999971,6.835987440795585e-29
525.1219999999971,7.002360328461444e-29
525.1229999999971,7.172747011120663e-29
525.1239999999971,7.347243455323693e-29
525.124999999997,7.525947900998384e-29
525.125999999997,7.708960914795019e-29
525.126999999997,7.896385444671751e-29
525.127999999997,8.088326875747947e-29
525.128999999997,8.284893087454694e-29
525.1299999999969,8.486194512012567e-29
